part_number,description,upc
HD-44-WB,"4"" HEAVY DUTY NO HUB-4000",#N/A
HD-55,"5"" HEAVY DUTY NO HUB-4000",018578003880
HD-66,"6"" HEAVY DUTY NO HUB-4000",018578003897
HD-66-WB,"6"" HEAVY DUTY NO HUB-4000",#N/A
HD-88,"8"" HEAVY DUTY NO HUB-4000",018578003903
HG-1,COUPLING HOSE GRIP 1 BLACK,018578016422
HG-1-WB,COUPLING HOSE GRIP 1 BLACK,#N/A
HG-1A,COUP HOSE GRIP 1 BLK 316SS,#N/A
HL4.380-0.750R,Custom 4.380 x 0.750 Reducer,#N/A
HULK10,"MULTI-RANGE COUP 10.5""-12.75""",018578049260
HULK12,"MULTI-RANGE COUP 12.5"" - 15.3""",018578049277
HULK4,"MULTI-RANGE COUP 4.2"" TO 5.6""",018578049222
HULK5,"MULTI-RANGE COUP 5.3"" TO 6.7""",018578049239
HULK6,"MULTI-RANGE COUP 6.2"" TO 8.0""",018578049246
HULK8,"MULTI-RANGE COUP 8.4"" TO 10.2""",018578049253
IC44P,"INTERNAL CONNECTOR 4"" PUSH FIT",018578048140
IC66P,"INTERNAL CONNECTOR 6"" PUSH FIT",018578048157
LDC-10.00x10.00,LD COUPLING 10.00'' x 10.00'',#N/A
LDC-10.30x10.30,LD COUPLING 10.30'' x 10.30'',#N/A
LDC-11.00x10.00,LD COUPLING 11.00'' x 10.00'',#N/A
LDC-12.60x12.60,LD COUPLING 12.60'' x 12.60'',#N/A
LDC-12.80x12.80,LD COUPLING 12.80'' x 12.80'',#N/A
LDC-13.00x13.00,LD COUPLING 13.00'' x 13.00'',#N/A
LDC-13.20x13.20,LD COUPLING 13.20'' x 13.20'',#N/A
LDC-14.50x13.20,"LD COUPLING 14.50"" x 13.20""",#N/A
LDC-15.00x12.60,LD COUPLING 15.00'' x 12.60'',#N/A
LDC-15.00x12.80,LD COUPLING 15.00'' x 12.80'',#N/A
LDC-15.30x13.20,LD COUPLING 15.30'' x 13.20'',#N/A
LDC-15.30x14.00,LD COUPLING 15.30'' x 14.00'',#N/A
LDC-15.30x15.30,LD COUPLING 15.30'' x 15.30'',#N/A
LDC-15.40x14.00,LD COUPLING 15.40'' x 14.00'',#N/A
LDC-15.50x15.50,LD COUPLING 15.50'' x 15.50'',#N/A
LDC-15.60x14.00,LD COUPLING 15.60'' x 14.00'',#N/A
LDC-15.70x15.70,LD COUPLING 15.70'' x 15.70'',#N/A
LDC-15.75x14.25,LD COUPLING 15.75'' x 14.25'',#N/A
LDC-15.80x14.00,LD COUPLING 15.80'' x 14.00'',#N/A
LDC-16.00x13.40,LD COUPLING 16.00'' x 13.40'',#N/A
LDC-16.00x14.00,LD COUPLING 16.00'' x 14.00'',#N/A
LDC-16.00x14.50,LD COUPLING 16.00'' x 14.50'',#N/A
LDC-16.00x14.80,LD COUPLING 16.00'' x 14.80'',#N/A
LDC-16.00x15.00,LD COUPLING 16.00'' x 15.00'',#N/A
LDC-16.00x16.00,LD COUPLING 16.00'' x 16.00'',#N/A
LDC-16.20x12.00,LD COUPLING 16.20'' x 12.00'',#N/A
LDC-16.30x14.00,LD COUPLING 16.30'' x 14.00'',#N/A
LDC-16.50x15.80,LD COUPLING 16.50'' x 15.80'',#N/A
LDC-16.50x16.50,"LD COUPLING 16.50"" x 16.50""",#N/A
LDC-16.90x12.50,LD COUPLING 16.90'' x 12.50'',#N/A
LDC-17.00x13.20,LD COUPLING 17.00'' x 13.20'',#N/A
LDC-17.30x13.20,LD COUPLING 17.30'' x 13.20'',#N/A
LDC-17.40x13.20,LD COUPLING 17.40'' x 13.20'',#N/A
LDC-17.40x15.30,LD COUPLING 17.40'' x 15.30'',#N/A
LDC-17.40x15.80,LD COUPLING 17.40'' x 15.80'',#N/A
LDC-17.40x16.00,LD COUPLING 17.40'' x 16.00'',#N/A
LDC-17.40x17.40,LD COUPLING 17.40'' x 17.40'',#N/A
LDC-17.50x12.80,LD COUPLING 17.50'' x 12.80'',#N/A
LDC-17.50x16.00,LD COUPLING 17.50'' x 16.00'',#N/A
LDC-17.60x14.00,LD COUPLING 17.60'' x 14.00'',#N/A
LDC-17.70x16.00,LD COUPLING 17.70'' x 16.00'',#N/A
LDC-17.90x15.90,LD COUPLING 17.90'' x 15.90'',#N/A
LDC-18.00x14.00,LD COUPLING 18.00'' x 14.00'',#N/A
LDC-18.00x15.00,LD COUPLING 18.00'' x 15.00'',#N/A
LDC-18.00x15.30,LD COUPLING 18.00'' x 15.30'',#N/A
LDC-18.00x16.00,LD COUPLING 18.00'' x 16.00'',#N/A
LDC-18.00x16.90,LD COUPLING 18.00'' x 16.90'',#N/A
LDC-18.20x16.00,LD COUPLING 18.20'' x 16.00'',#N/A
LDC-18.30x17.40,LD COUPLING 18.30'' x 17.40'',#N/A
LDC-18.50x17.40,LD COUPLING 18.50'' x 17.40'',#N/A
LDC-18.50x17.50,LD COUPLING 18.50'' x 17.50'',#N/A
LDC-18.70x12.80,LD COUPLING 18.70'' x 12.80'',#N/A
LDC-18.70x14.40,LD COUPLING 18.70'' x 14.40'',#N/A
LDC-18.70x14.50,LD COUPLING 18.70'' x 14.50'',#N/A
LDC-18.70x16.00,LD COUPLING 18.70'' x 16.00'',#N/A
LDC-18.70x16.30,LD COUPLING 18.70'' x 16.30'',#N/A
LDC-18.70x17.40,LD COUPLING 18.70'' x 17.40'',#N/A
LDC-18.70x17.70,LD COUPLING 18.70'' x 17.70'',#N/A
LDC-18.70x17.90,LD COUPLING 18.70'' x 17.90'',#N/A
LDC-18.70x18.00,LD COUPLING 18.70'' x 18.00'',#N/A
LDC-19.00x14.00,LD COUPLING 19.00'' x 14.00'',#N/A
LDC-19.00x16.30,LD COUPLING 19.00'' x 16.30'',#N/A
LDC-19.00x17.40,LD COUPLING 19.00'' x 17.40'',#N/A
LDC-19.00x18.00,LD COUPLING 19.00'' x 18.00'',#N/A
LDC-19.00x19.00,LD COUPLING 19.00'' x 19.00'',#N/A
LDC-19.10x16.00,LD COUPLING 19.10'' x 16.00'',#N/A
LDC-19.20x18.00,LD COUPLING 19.20'' x 18.00'',#N/A
LDC-19.30x18.70,LD COUPLING 19.30'' x 18.70'',#N/A
LDC-19.50x14.50,LD COUPLING 19.50'' x 14.50'',#N/A
LDC-19.50x16.00,LD COUPLING 19.50'' x 16.00'',#N/A
LDC-19.50x17.40,LD COUPLING 19.50'' x 17.40'',#N/A
LDC-19.50x17.80,LD COUPLING 19.50'' x 17.80'',#N/A
LDC-19.50x18.00,LD COUPLING 19.50'' x 18.00'',#N/A
LDC-19.60x15.90,LD COUPLING 19.60'' x 15.90'',#N/A
LDC-19.70x16.00,LD COUPLING 19.70'' x 16.00'',#N/A
LDC-19.70x17.40,LD COUPLING 19.70'' x 17.40'',#N/A
LDC-19.70x18.00,LD COUPLING 19.70'' x 18.00'',#N/A
LDC-19.70x19.70,LD COUPLING 19.70'' x 19.70'',#N/A
LDC-19.80x16.00,LD COUPLING 19.80'' x 16.00'',#N/A
LDC-19.80x16.10,LD COUPLING 19.80'' x 16.10'',#N/A
LDC-19.80x16.30,LD COUPLING 19.80'' x 16.30'',#N/A
LDC-19.80x18.00,LD COUPLING 19.80'' x 18.00'',#N/A
LDC-20.00x15.30,LD COUPLING 20.00'' x 15.30'',#N/A
LDC-20.00x15.50,LD COUPLING 20.00'' x 15.50'',#N/A
LDC-20.00x16.00,LD COUPLING 20.00'' x 16.00'',#N/A
LDC-20.00x18.00,LD COUPLING 20.00'' x 18.00'',#N/A
LDC-20.00x20.00,LD COUPLING 20.00'' x 20.00'',#N/A
LDC-20.10x13.20,LD COUPLING 20.10'' x 13.20'',#N/A
LDC-20.10x15.30,LD COUPLING 20.10'' x 15.30'',#N/A
LDC-20.10x20.10,LD COUPLING 20.10'' x 20.10'',#N/A
LDC-20.20x17.40,LD COUPLING 20.20'' x 17.40'',#N/A
LDC-20.30x18.00,LD COUPLING 20.30'' x 18.00'',#N/A
LDC-20.30x18.70,LD COUPLING 20.30'' x 18.70'',#N/A
LDC-20.30x20.00,LD COUPLING 20.30'' x 20.00'',#N/A
LDC-20.50x15.60,LD COUPLING 20.50'' x 15.60'',#N/A
LDC-20.50x18.00,LD COUPLING 20.50'' x 18.00'',#N/A
LDC-20.50x19.50,LD COUPLING 20.50'' x 19.50'',#N/A
LDC-21.00x15.30,LD COUPLING 21.00'' x 15.30'',#N/A
LDC-21.00x15.90,LD COUPLING 21.00'' x 15.90'',#N/A
LDC-21.00x16.00,LD COUPLING 21.00'' x 16.00'',#N/A
LDC-21.00x17.40,LD COUPLING 21.00'' x 17.40'',#N/A
LDC-21.00x18.00,LD COUPLING 21.00'' x 18.00'',#N/A
LDC-21.00x20.00,LD COUPLING 21.00'' x 20.00'',#N/A
LDC-21.20x13.20,LD COUPLING 21.20'' x 13.20'',#N/A
LDC-21.20x16.50,LD COUPLING 21.20'' x 16.50'',#N/A
LDC-21.20x17.50,LD COUPLING 21.20'' x 17.50'',#N/A
LDC-21.25x16.00,LD COUPLING 21.25'' x 16.00'',#N/A
LDC-21.30x18.00,LD COUPLING 21.30'' x 18.00'',#N/A
LDC-21.30x18.30,LD COUPLING 21.30'' x 18.30'',#N/A
LDC-21.40x18.00,LD COUPLING 21.40'' x 18.00'',#N/A
LDC-21.50x17.50,LD COUPLING 21.50'' x 17.50'',#N/A
LDC-21.60x15.30,LD COUPLING 21.60'' x 15.30,#N/A
LDC-21.60x19.50,LD COUPLING 21.60'' x 19.50'',#N/A
LDC-21.60x20.10,LD COUPLING 21.60'' x 20.10'',#N/A
LDC-21.60x20.30,LD COUPLING 21.60'' x 20.30'',#N/A
LDC-21.60x21.00,LD COUPLING 21.60'' x 21.00'',#N/A
LDC-21.80x13.30,LD COUPLING 21.80'' x 13.30'',#N/A
LDC-21.80x19.50,LD COUPLING 21.80'' x 19.50'',#N/A
LDC-21.80x21.80,LD COUPLING 21.80'' x 21.80'',#N/A
LDC-21.90x15.30,LD COUPLING 21.90'' x 15.30'',#N/A
LDC-21.90x15.60,LD COUPLING 21.90'' x 15.60'',#N/A
LDC-21.90x16.00,LD COUPLING 21.90'' x 16.00'',#N/A
LDC-21.90x18.00,LD COUPLING 21.90'' x 18.00'',#N/A
LDC-22.00x14.00,LD COUPLING 22.00'' x 14.00'',#N/A
LDC-22.00x15.30,LD COUPLING 22.00'' x 15.30'',#N/A
LDC-22.00x16.00,LD COUPLING 22.00'' x 16.00'',#N/A
LDC-22.00x16.40,LD COUPLING 22.00'' x 16.40'',#N/A
LDC-22.00x17.00,LD COUPLING 22.00'' x 17.00'',#N/A
LDC-22.00x18.00,LD COUPLING 22.00'' x 18.00'',#N/A
LDC-22.00x18.70,LD COUPLING 22.00'' x 18.70'',#N/A
LDC-22.00x19.50,LD COUPLING 22.00'' x 19.50'',#N/A
LDC-22.00x20.00,LD COUPLING 22.00'' x 20.00'',#N/A
LDC-22.00x21.00,LD COUPLING 22.00'' x 21.00'',#N/A
LDC-22.00x21.60,LD COUPLING 22.00'' x 21.60'',#N/A
LDC-22.00x22.00,LD COUPLING 22.00'' x 22.00'',#N/A
LDC-22.25x21.25,LD COUPLING 22.25'' x 21.25'',#N/A
LDC-22.40x13.30,LD COUPLING 22.40'' x 13.30'',#N/A
LDC-22.40x15.80,LD COUPLING 22.40'' x 15.80'',#N/A
LDC-22.40x19.50,LD COUPLING 22.40'' x 19.50'',#N/A
LDC-22.50x15.30,LD COUPLING 22.50'' x 15.30'',#N/A
LDC-22.50x15.40,LD COUPLING 22.50'' x 15.40'',#N/A
LDC-22.50x16.00,LD COUPLING 22.50'' x 16.00'',#N/A
LDC-22.50x17.40,LD COUPLING 22.50'' x 17.40'',#N/A
LDC-22.50x18.00,LD COUPLING 22.50'' x 18.00'',#N/A
LDC-22.50x18.90,LD COUPLING 22.50'' x 18.90'',#N/A
LDC-22.50x19.50,LD COUPLING 22.50'' x 19.50'',#N/A
LDC-22.50x20.00,LD COUPLING 22.50'' x 20.00'',#N/A
LDC-22.50x21.30,LD COUPLING 22.50'' x 21.30'',#N/A
LDC-22.50x21.50,LD COUPLING 22.50'' x 21.50'',#N/A
LDC-22.50x22.00,LD COUPLING 22.50'' x 22.00'',#N/A
LDC-22.60x22.00,LD COUPLING 22.60'' x 22.00'',#N/A
LDC-22.90x18.80,LD COUPLING 22.90'' x 18.80'',#N/A
LDC-23.00x15.30,LD COUPLING 23.00'' x 15.30'',#N/A
LDC-23.00x16.00,LD COUPLING 23.00'' x 16.00'',#N/A
LDC-23.00x18.00,LD COUPLING 23.00'' x 18.00'',#N/A
LDC-23.00x18.10,LD COUPLING 23.00'' x 18.10'',#N/A
LDC-23.00x18.70,LD COUPLING 23.00'' x 18.70'',#N/A
LDC-23.00x19.00,LD COUPLING 23.00'' x 19.00'',#N/A
LDC-23.00x19.50,LD COUPLING 23.00'' x 19.50'',#N/A
LDC-23.00x19.70,LD COUPLING 23.00'' x 19.70'',#N/A
LDC-23.00x19.80,LD COUPLING 23.00'' x 19.80'',#N/A
LDC-23.00x20.00,LD COUPLING 23.00'' x 20.00'',#N/A
LDC-23.00x21.00,LD COUPLING 23.00'' x 21.00'',#N/A
LDC-23.00x21.60,LD COUPLING 23.00'' x 21.60'',#N/A
LDC-23.00x22.00,LD COUPLING 23.00'' x 22.00'',#N/A
LDC-23.10x18.70,LD COUPLING 23.10'' x 18.70'',#N/A
LDC-23.10x19.50,LD COUPLING 23.10'' x 19.50'',#N/A
LDC-23.20x18.70,LD COUPLING 23.20'' x 18.70'',#N/A
LDC-23.20x19.50,LD COUPLING 23.20'' x 19.50'',#N/A
LDC-23.30x18.80,LD COUPLING 23.30'' x 18.80'',#N/A
LDC-23.30x19.50,LD COUPLING 23.30'' x 19.50'',#N/A
LDC-23.30x22.00,LD COUPLING 23.30'' x 22.00'',#N/A
LDC-23.40x23.40,LD COUPLING 23.40'' x 23.40'',#N/A
LDC-23.50x15.30,LD COUPLING 23.50'' x 15.30'',#N/A
LDC-23.50x16.00,LD COUPLING 23.50'' x 16.00'',#N/A
LDC-23.50x18.00,LD COUPLING 23.50'' x 18.00'',#N/A
LDC-23.50x18.70,LD COUPLING 23.50'' x 18.70'',#N/A
LDC-23.50x18.90,LD COUPLING 23.50'' x 18.90'',#N/A
LDC-23.60x15.30,LD COUPLING 23.60'' x 15.30'',#N/A
LDC-23.60x18.70,LD COUPLING 23.60'' x 18.70'',#N/A
LDC-23.60x20.70,LD COUPLING 23.60'' x 20.70'',#N/A
LDC-23.70x20.10,LD COUPLING 23.70'' x 20.10'',#N/A
LDC-23.70x22.50,LD COUPLING 23.70'' x 22.50'',#N/A
LDC-24.00x14.00,LD COUPLING 24.00'' x 14.00'',#N/A
LDC-24.00x15.30,LD COUPLING 24.00'' x 15.30'',#N/A
LDC-24.00x16.00,LD COUPLING 24.00'' x 16.00'',#N/A
LDC-24.00x18.00,LD COUPLING 24.00'' x 18.00'',#N/A
LDC-24.00x18.80,LD COUPLING 24.00'' x 18.80'',#N/A
LDC-24.00x19.00,LD COUPLING 24.00'' x 19.00'',#N/A
LDC-24.00x19.50,LD COUPLING 24.00'' x 19.50'',#N/A
LDC-24.00x20.00,LD COUPLING 24.00'' x 20.00'',#N/A
LDC-24.00x21.00,LD COUPLING 24.00'' x 21.00'',#N/A
LDC-24.00x21.30,LD COUPLING 24.00'' x 21.30'',#N/A
LDC-24.00x21.50,LD COUPLING 24.00'' x 21.50'',#N/A
LDC-24.00x23.00,LD COUPLING 24.00'' x 23.00'',#N/A
LDC-24.00x23.50,LD COUPLING 24.00'' x 23.50'',#N/A
LDC-24.00x24.00,LD COUPLING 24.00'' x 24.00'',#N/A
LDC-24.18x18.70,LD COUPLING 24.18'' x 18.70'',#N/A
LDC-24.20x22.50,LD COUPLING 24.20'' x 22.50'',#N/A
LDC-24.30x22.10,LD COUPLING 24.30'' x 22.10'',#N/A
LDC-24.30x24.30,LD COUPLING 24.30'' x 24.30'',#N/A
LDC-24.40x22.80,LD COUPLING 24.40'' x 22.80'',#N/A
LDC-24.40x24.40,LD COUPLING 24.40'' x 24.40'',#N/A
LDC-24.50x16.00,LD COUPLING 24.50'' x 16.00'',#N/A
LDC-24.50x18.00,LD COUPLING 24.50'' x 18.00'',#N/A
LDC-24.50x19.00,LD COUPLING 24.50'' x 19.00'',#N/A
LDC-24.50x19.50,"LD COUPLING 24.50"" x 19.50""",#N/A
LDC-24.50x22.00,LD COUPLING 24.50'' x 22.00'',#N/A
LDC-24.50x23.00,LD COUPLING 24.50'' x 23.00'',#N/A
LDC-24.50x24.50,LD COUPLING 24.50'' x 24.50'',#N/A
LDC-24.60x19.50,LD COUPLING 24.60'' x 19.50'',#N/A
LDC-24.70x21.30,LD COUPLING 24.70'' x 21.30'',#N/A
LDC-24.70x21.60,LD COUPLING 24.70'' x 21.60'',#N/A
LDC-24.74x22.05,"LD COUPLING 24.74"" x 22.05""",#N/A
LDC-24.80x15.30,LD COUPLING 24.80'' x 15.30'',#N/A
LDC-24.80x18.00,LD COUPLING 24.80'' x 18.00'',#N/A
LDC-24.80x18.70,LD COUPLING 24.80'' x 18.70'',#N/A
LDC-24.80x18.80,LD COUPLING 24.80'' x 18.80'',#N/A
LDC-24.80x19.30,LD COUPLING 24.80'' x 19.30'',#N/A
LDC-24.80x20.00,LD COUPLING 24.80'' x 20.00'',#N/A
LDC-24.80x22.00,LD COUPLING 24.80'' x 22.00'',#N/A
LDC-24.80x22.10,LD COUPLING 24.80'' x 22.10'',#N/A
LDC-24.80x22.50,LD COUPLING 24.80'' x 22.50'',#N/A
LDC-24.80x22.60,LD COUPLING 24.80'' x 22.60'',#N/A
LDC-24.80x24.00,LD COUPLING 24.80'' x 24.00'',#N/A
LDC-24.80x24.50,LD COUPLING 24.80'' x 24.50'',#N/A
LDC-24.80x24.80,LD COUPLING 24.80'' x 24.80'',#N/A
LDC-24.90x18.70,LD COUPLING 24.90'' x 18.70'',#N/A
LDC-24.90x18.90,LD COUPLING 24.90'' x 18.90'',#N/A
LDC-24.90x24.00,LD COUPLING 24.90'' x 24.00'',#N/A
LDC-25.00x18.70,LD COUPLING 25.00'' x 18.70'',#N/A
LDC-25.00x19.00,LD COUPLING 25.00'' x 19.00'',#N/A
LDC-25.00x20.00,LD COUPLING 25.00'' x 20.00'',#N/A
LDC-25.10x21.20,LD COUPLING 25.10'' x 21.20'',#N/A
LDC-25.10x24.80,LD COUPLING 25.10'' x 24.80'',#N/A
LDC-25.30x23.50,LD COUPLING 25.30'' x 23.50'',#N/A
LDC-25.30x24.00,LD COUPLING 25.30'' x 24.00'',#N/A
LDC-25.30x24.30,LD COUPLING 25.30'' x 24.30'',#N/A
LDC-25.40x21.60,LD COUPLING 25.40'' x 21.60'',#N/A
LDC-25.50x22.00,LD COUPLING 25.50'' x 22.00'',#N/A
LDC-25.50x24.80,LD COUPLING 25.50'' x 24.80'',#N/A
LDC-25.60x25.60,LD COUPLING 25.60'' x 25.60'',#N/A
LDC-25.70x21.60,LD COUPLING 25.70'' x 21.60'',#N/A
LDC-25.80x15.30,LD COUPLING 25.80'' x 15.30'',#N/A
LDC-25.80x18.00,LD COUPLING 25.80'' x 18.00'',#N/A
LDC-25.80x18.60,LD COUPLING 25.80'' x 18.60'',#N/A
LDC-25.80x19.50,LD COUPLING 25.80'' x 19.50'',#N/A
LDC-25.80x23.00,LD COUPLING 25.80'' x 23.00'',#N/A
LDC-25.80x23.50,LD COUPLING 25.80'' x 23.50'',#N/A
LDC-25.80x24.00,LD COUPLING 25.80'' x 24.00'',#N/A
LDC-25.80x24.80,LD COUPLING 25.80'' x 24.80'',#N/A
LDC-25.80x25.80,LD COUPLING 25.80'' x 25.80'',#N/A
LDC-26.00x15.30,LD COUPLING 26.00'' x 15.30'',#N/A
LDC-26.00x16.00,LD COUPLING 26.00'' x 16.00'',#N/A
LDC-26.00x19.50,LD COUPLING 26.00'' x 19.50'',#N/A
LDC-26.00x24.00,LD COUPLING 26.00'' x 24.00'',#N/A
LDC-26.50x22.00,LD COUPLING 26.50'' x 22.00'',#N/A
LDC-26.50x24.80,LD COUPLING 26.50'' x 24.80'',#N/A
LDC-26.50x25.25,LD COUPLING 26.50'' x 25.25'',#N/A
LDC-26.80x24.00,LD COUPLING 26.80'' x 24.00'',#N/A
LDC-26.80x24.50,LD COUPLING 26.80'' x 24.50'',#N/A
LDC-26.90x24.80,LD COUPLING 26.90'' x 24.80'',#N/A
LDC-27.00x21.60,LD COUPLING 27.00'' x 21.60'',#N/A
LDC-27.00x22.50,LD COUPLING 27.00'' x 22.50'',#N/A
LDC-27.00x25.80,LD COUPLING 27.00'' x 25.80'',#N/A
LDC-27.50x25.80,LD COUPLING 27.50'' x 25.80'',#N/A
LDC-27.70x24.80,LD COUPLING 27.70'' x 24.80'',#N/A
LDC-27.80x22.50,LD COUPLING 27.80'' x 22.50'',#N/A
LDC-27.80x26.80,LD COUPLING 27.80'' x 26.80'',#N/A
LDC-27.90x22.00,LD COUPLING 27.90'' x 22.00'',#N/A
LDC-27.90x24.80,LD COUPLING 27.90'' x 24.80'',#N/A
LDC-27.90x27.90,LD COUPLING 27.90'' x 27.90'',#N/A
LDC-28.00x16.00,LD COUPLING 28.00'' x 16.00'',#N/A
LDC-28.00x18.00,LD COUPLING 28.00'' x 18.00'',#N/A
LDC-28.00x22.00,LD COUPLING 28.00'' x 22.00'',#N/A
LDC-28.00x22.10,LD COUPLING 28.00'' x 22.10'',#N/A
LDC-28.00x22.50,LD COUPLING 28.00'' x 22.50'',#N/A
LDC-28.00x23.50,LDC-28.00x23.50,#N/A
LDC-28.00x24.00,LD COUPLING 28.00'' x 24.00'',#N/A
LDC-28.00x24.40,LD COUPLING 28.00'' x 24.40'',#N/A
LDC-28.00x24.50,LD COUPLING 28.00'' x 24.50'',#N/A
LDC-28.00x25.00,LD COUPLING 28.00'' x 25.00'',#N/A
LDC-28.00x25.80,LD COUPLING 28.00'' x 25.80'',#N/A
LDC-28.00x26.00,LD COUPLING 28.00'' x 26.00'',#N/A
LDC-28.00x26.60,LD COUPLING 28.00'' x 26.60'',#N/A
LDC-28.00x27.00,LD COUPLING 28.00'' x 27.00'',#N/A
LDC-28.00x28.00,LD COUPLING 28.00'' x 28.00'',#N/A
LDC-28.10x22.10,LD COUPLING 28.10'' x 22.10'',#N/A
LDC-28.30x24.00,LD COUPLING 28.30'' x 24.00'',#N/A
LDC-28.40x25.10,LD COUPLING 28.40'' x 25.10'',#N/A
LDC-28.60x26.00,LD COUPLING 28.60'' x 26.00'',#N/A
LDC-29.00x17.40,"LD COUPLING 29.00"" x 17.40""",#N/A
LDC-29.00x18.70,LD COUPLING 29.00'' x 18.70'',#N/A
LDC-29.00x22.00,LD COUPLING 29.00'' x 22.00'',#N/A
LDC-29.00x24.00,LD COUPLING 29.00'' x 24.00'',#N/A
LDC-29.00x25.90,LD COUPLING 29.00'' x 25.90'',#N/A
LDC-29.00x27.00,LD COUPLING 29.00'' x 27.00'',#N/A
LDC-29.10x22.90,LD COUPLING 29.10'' x 22.90'',#N/A
LDC-29.30x25.80,LD COUPLING 29.30'' x 25.80'',#N/A
LDC-29.30x29.30,LD COUPLING 29.30'' x 29.30'',#N/A
LDC-29.50x24.80,LD COUPLING 29.50'' x 24.80'',#N/A
LDC-29.50x29.50,LD COUPLING 29.50'' x 29.50'',#N/A
LDC-29.70x19.50,LD COUPLING 29.70'' x 19.50'',#N/A
LDC-30.00x21.00,LD COUPLING 30.00'' x 21.00'',#N/A
LDC-30.00x24.00,LD COUPLING 30.00'' x 24.00'',#N/A
LDC-30.00x24.30,LD COUPLING 30.00'' x 24.30'',#N/A
LDC-30.00x24.80,LD COUPLING 30.00'' x 24.80'',#N/A
LDC-30.00x26.00,LD COUPLING 30.00'' x 26.00'',#N/A
LDC-30.00x28.00,LD COUPLING 30.00'' x 28.00'',#N/A
LDC-30.00x28.60,LD COUPLING 30.00'' x 28.60'',#N/A
LDC-30.00x30.00,"LD COUPLING 30.00"" x 30.00""",#N/A
LDC-30.10x25.30,LD COUPLING 30.10'' x 25.30'',#N/A
LDC-30.10x25.80,LD COUPLING 30.10'' x 25.80'',#N/A
LDC-30.20x18.70,LD COUPLING 30.20'' x 18.70'',#N/A
LDC-30.20x28.00,LD COUPLING 30.20'' x 28.00'',#N/A
LDC-30.20x30.00,LD COUPLING 30.20'' x 30.00'',#N/A
LDC-30.50x18.90,LD COUPLING 30.50'' x 18.90'',#N/A
LDC-30.50x23.50,LD COUPLING 30.50'' x 23.50'',#N/A
LDC-30.50x24.80,LD COUPLING 30.50'' x 24.80'',#N/A
LDC-30.50x25.60,LD COUPLING 30.50'' x 25.60'',#N/A
LDC-30.50x25.80,LD COUPLING 30.50'' x 25.80'',#N/A
LDC-30.50x28.00,LD COUPLING 30.50'' x 28.00'',#N/A
LDC-30.50x28.40,LD COUPLING 30.50'' x 28.40'',#N/A
LDC-30.50x29.00,LD COUPLING 30.50'' x 29.00'',#N/A
LDC-30.80x30.80,LD COUPLING 30.80'' x 30.80'',#N/A
LDC-30.85X24.80,LD COUPLING 30.85'' x 24.80'',#N/A
LDC-31.00x25.80,LD COUPLING 31.00'' x 25.80'',#N/A
LDC-31.30x25.00,LD COUPLING 31.30'' x 25.00'',#N/A
LDC-31.40x31.40,LD COUPLING 31.40'' x 31.40'',#N/A
LDC-31.50x24.00,LD COUPLING 31.50'' x 24.00'',#N/A
LDC-31.50x25.80,LD COUPLING 31.50'' x 25.80'',#N/A
LDC-31.50x28.00,LD COUPLING 31.50'' x 28.00'',#N/A
LDC-31.50x29.50,LD COUPLING 31.50'' x 29.50'',#N/A
LDC-31.50x31.50,LD COUPLING 31.50'' x 31.50'',#N/A
LDC-31.90x31.10,LD COUPLING 31.90'' x 31.10'',#N/A
LDC-32.00x22.00,LD COUPLING 32.00'' x 22.00'',#N/A
LDC-32.00x25.80,"LD COUPLING 32.00"" x 25.80""",#N/A
LDC-32.00x28.00,LD COUPLING 32.00'' x 28.00'',#N/A
LDC-32.00x28.40,LD COUPLING 32.00'' x 28.40'',#N/A
LDC-32.00x29.00,LD COUPLING 32.00'' x 29.00'',#N/A
LDC-32.00x30.00,LD COUPLING 32.00'' x 30.00'',#N/A
LDC-32.00x32.00,LD COUPLING 32.00'' x 32.00'',#N/A
LDC-32.20x29.50,LD COUPLING 32.20'' x 29.50'',#N/A
LDC-32.20x32.00,LD COUPLING 32.20'' x 32.00'',#N/A
LDC-32.80x32.80,LD COUPLING 32.80'' x 32.80'',#N/A
LDC-33.00x28.00,LD COUPLING 33.00'' x 28.00'',#N/A
LDC-33.00x32.00,LD COUPLING 33.00'' x 32.00'',#N/A
LDC-33.00x33.00,LD COUPLING 33.00'' x 33.00'',#N/A
LDC-33.40x24.00,LD COUPLING 33.40'' x 24.00'',#N/A
LDC-33.40x30.00,LD COUPLING 33.40'' x 30.00'',#N/A
LDC-33.50x28.00,LD COUPLING 33.50'' x 28.00'',#N/A
LDC-33.50x32.00,LD COUPLING 33.50'' x 32.00'',#N/A
LDC-34.00x28.40,LD COUPLING 34.00'' x 28.40'',#N/A
LDC-34.00x30.50,LD COUPLING 34.00'' x 30.50'',#N/A
LDC-34.00x32.00,LD COUPLING 34.00'' x 32.00'',#N/A
LDC-34.30x30.00,LD COUPLING 34.30'' x 30.00'',#N/A
LDC-34.30x32.00,LD COUPLING 34.30'' x 32.00'',#N/A
LDC-34.40x32.00,LD COUPLING 34.40'' x 32.00'',#N/A
LDC-34.50x32.00,LD COUPLING 34.50'' x 32.00'',#N/A
LDC-35.00x32.00,LD COUPLING 35.00'' x 32.00'',#N/A
LDC-35.00x35.00,LD COUPLING 35.00'' x 35.00'',#N/A
LDC-35.10x33.30,LD COUPLING 35.10'' x 33.30'',#N/A
