part_number,description,upc
1002-1818RC,COUPLING 18X18 CLAY-CI/PL RC,018578009493
1002-1818WC,"COUPLING 18""CLAY-18""CI/PL WEST",018578025837
1002-1818WCRC,"COUPLING 18""CLAY-18""CI/PL WCRC",018578029712
1002-2121,"COUPLING 21""CLAY-21CI/PL",018578001763
1002-2121RC,"COUPLING 21""CI/PL-21""CLAY",018578013742
1002-2424,"COUPLING 24""CLAY-24""CI/PL",018578003712
1002-2424RC,"COUPLING 24""CI/PL-24""CLAY RC",018578012561
1002-2727,"COUPLING 27""CLAY-27""CI/PL",018578004849
1002-2727RC,"Coupling 27"" Clay-27"" CI/PL RC",018578018631
1002-42,"COUPLING 4""CLAY-2""CI/PL",018578014459
1002-42EB,COUPLING 4X2 CLAY-CI/PL EB,018578014381
1002-42EBRC,COUPLING 4X2 CLAY-CI/PL EBRC,#N/A
1002-42WC,"COUPLING 4""WC CLAY-2""CI/PL",018578025943
1002-43,"COUPLING 4""CLAY-3""CI/PL",018578015241
1002-43-WB,"COUPLING 4""CLAY-3""CI/PL",#N/A
1002-43EB,COUPLING 4X3 CLAY-CI/PL EB,018578025950
1002-43RC,COUPLING 4X3 CLAY-CI/PL RC,018578009516
1002-43WC,"COUPLING 4""WC CLAY-3""CI/PL",018578010178
1002-43WCRC,"COUPLING 4""WC CLAY-3""CI/PL RC",018578013858
1002-44,"COUPLING 4""CLAY-4""CI/PL",018578015258
1002-44_BX,"COUPLING 4""CLAY-4""CI/PL",10018578015255
1002-44-WB,"COUPLING 4""CLAY-4""CI/PL",#N/A
1002-44-WF,"COUPLING 4""CLAY-4""CI/PL",#N/A
1002-442RC,"COUP 4""CL X 4""PL XL",018578046016
1002-44A,"COUPLING 4""CLAY-4""CI/PL 316SS",018578025998
1002-44EB,COUPLING 4X4 CLAY-CI/PL,018578007635
1002-44EBRC,COUPLING 4X4 CLAY-CI/PL,018578018341
1002-44HT,"COUPLING 4""CLAY-4""CI/PL HT",018578026018
1002-44MIB,COUPLING 4X4 CLAY-CI/PL MIB,#N/A
1002-44RC,COUPLING 4X4 CLAY-CI/PL RC,018578015265
1002-44RC-WB,COUPLING 4X4 CLAY-CI/PL RC,#N/A
1002-44RC-WF,COUPLING 4X4 CLAY-CI/PL RC,#N/A
1002-44SDRRC,COUPLING 4X4 CLAY-CI/SDR RC,018578048171
1002-44SRA,COUPLING 4X4 CLAY-CI/PL SRA,#N/A
1002-44WC,"COUPLING 4""WC CLAY-4""CI/PL",018578011762
1002-44WCRC,COUPLING 4X4 WC CLAY-CI/PL RC,018578011199
1002-44WCSDRRC,COUPL 4X4 WC CLAY-CI/PL RC SDR,018578039636
1002-45,"COUPLING 4"" CLAY- 5""CI/PL",018578015135
1002-45RC,Coupling 4x5 Clay-CI/PL RC,018578017405
1002-46,"COUPLING 4"" CLAY- 6""CI/PL",018578002739
1002-46EB,COUPLING 4X6 CLAY-CI/PL EB,018578006607
1002-46EBRC,COUPLING 4X6 CLAY-CI/PL RC,#N/A
1002-46RC,COUPLING 4X6 CLAY-CI/PL RC,018578002517
1002-46RC-WF,COUPLING 4X6 CLAY-CI/PL RC,#N/A
1002-46WC,COUPLING 4X6 CLAY-CI/PL WEST C,018578026056
1002-46WCRC,COUPLING 4X6 CLAY-CI/PL RC WES,018578014688
1002-48,"COUPLING 4""CLAY-8""CI/PL",018578008779
1002-48EB,COUPLING 4X8 CLAY-CI/PL,018578026063
1002-48RC,"Coupling 4""Clay-8""CI/PL RC",018578026070
1002-52,"COUPLING 5"" CLAY - 2"" CI/PL",018578049307
1002-53WC,COUPLING 5X3 CLAY-CI/PL,#N/A
1002-54,"COUPLING 5""CLAY-4""CI/PL",018578001565
1002-54EB,COUPLING 5X4 CLAY-CI/PL EB,018578008786
1002-54EBRC,"COUPLING 5""CLAY-4""CI/PL RC",018578046818
1002-54RC,"Coupling 5""Clay-4""CI/PL RC",018578019775
1002-54WC,COUPLING 5X4 CLAY-CI/PL,018578007437
1002-55,"COUPLING 5""CLAY-5""CI/PL",018578001633
1002-55EBRC,"COUPLING 5""CLAY-5""CI/PL ECC RC",018578039421
