catalog_number,description,upc
14083,12IN 80T IRWIN MARATHON Saw Blade,024721140838
14084,12IN 100T IRWIN MARATHON SAW BLADE,024721140845
14103,72TOOTH DRYCUT BLADE,039404110619
14104,DRY CUT SAW BLD,039404125040
14130,7-1/4IN 24T IRWIN MARATHON Decking Blade,024721141309
14233,10IN 24T IRWIN MARATHON Saw Blade,024721142337
15000,5 INCH HLD STD PAD,039404111296
15104,"15104 STEP DRL #4T 3/16-7/8"" TIN 12 SZ",038548151045
15120,SAW BLD 6-1/2IN 24T CD,024721151209
15150,"SAW BLD 8-1/4"" 24T CD",024721151506
15270,"SAW BLD 10"" 40T CD",024721152701
15370,"SAW BLD 10"" 60T CD",024721153708
15502,15502 STEP DRL #502T 3PC SET,038548155029
15557,10 PC DRILL BIT SET,028877317144
16000,PAD,039404109767
16104,16104 STEP DRL #4MT 4-22MM TIN 10 SZ,038548161044
16105,16105 STEP DRL #5MT 5-35MM TIN 13 SZ,038548161051
16270,5 PC SCREW EXTRACTOR SET,028874162709
16900,1/8 X 2-1/4 GLASS/TILE DRILL BIT,028874169005
16901,3/16 X 2-1/4 GLASS/TILE DRILL BIT,028874169012
16902,1/4 X 2-1/4 GLASS/TILE DRILL BIT,028874169029
16903,5/16 X 3 GLASS/TILE DRILL BIT,028874169036
16904,3/8 X 3-7/8 GLASS/TILE DRILL BIT,028874169043
16905,1/2 X 3-7/8 GLASS/TILE DRILL BIT,028874169050
18001,6 IN HOLED STD PAD,039404114327
18002,6IN 6HOLE H&L CONTUR,039404114334
18007,6IN H&L LAMBSWOOL PD,039404114358
19110,"3/8"" BULLET DRILL BIT",028877584584
19111,"1/2"" BULLET DRILL BIT",028877584461
21101,TAP WRENCH #0-1/4 RCHT,024721211019
21102,TAP WRENCH 1/4-1/2 RCHT,024721211026
21110,TAP WRENCH 0-1/4 inch RCHT 10 inch,024721211101
21112,TAP WRENCH 1/4-1/2 inch RCHT 12 inch,024721211125
21202,TAP WRENCH 1/4-1/2 inch RCHT,042526212024
22007,SNIPS 007 7IN TIN FLAT,038548220079
22010,SNIPS 010 10IN TIN FLAT,038548220109
22012,SNIPS 012 12-3/4IN TIN FLAT,038548220123
22768,KITS BULK 100BLADE RECIP ASSORTMENT,082472227680
23010,SNIPS 210 10IN TIN DUCKBILL,038548230108
23012,SNIPS 212 12-3/4INTIN DUCKBILL,038548230122
23614,TAP + DIE 39PC SET MS/RD FRACTIONAL,042526236143
24021,6-1/2IN 20T IRWIN MARATHON Saw Blade10PK,024721240217
24028,7-1/4IN 18T IRWIN MARATHON Saw Blade10PK,024721240286
24030,7-1/4IN 24T IRWIN MARATHON Saw Blade10PK,024721240309
24031,7-1/4IN 40T IRWIN MARATHON Saw Blade10PK,024721240316
24070,10IN 40T IRWIN MARATHON Saw Blade Bulk,024721240705
24130,"CSB MARTHON 7-1/4"" 24T DECK BK DSPLY",024721241306
24233,10IN 24T IRWIN MARATHON Saw Blade Bulk,024721242334
24605,TAP + DIE BEST 5 MCH/FRAC 12PC SET,042526246050
24606,TAP + DIE 41PC SET MS/FRAC SH IRWIN,042526246067
24612,TAP + DIE 12PC SET FRACTIONAL HEX,042526246128
24614,TAP + DIE 24PC SET FRACTIONAL HEX,042526246142
24640,TAP + DIE 53PC SET MS/FRACTIONAL HEX,042526246401
25130,CSB CLASSIC 7-1/4IN 24T BULK DISPLAY T,024721666673
25941,TAP + DIE 41PC SET FRACTIONAL RD,042526259418
26313,TAP + DIE 24PC SET MTRC HEX,024721263131
26317,TAP + DIE 41PC SET MTRC HEX,042526263170
26319,TAP + DIE 41PC SET COMBO HEX,042526263194
26376,TAP + DIE 76PC SET COMBO HEX,042526263767
26377,TAP + DIE + DRL 117PC DELUXE SET,024721263773
26394,TAP + DIE 53PC SET MTRC HEX,024721263940
30507,DRL 7/64 LHCOB ML 135' BULK,024721305077
30508,DRL 1/8 LHCOB ML 135' BULK,024721305084
30510,DRL 5/32 LHCOB ML 135' BULK,024721305107
30514,DRL 7/32 LHCOB ML 135' BULK,024721305145
30516,DRL 1/4 LHCOB ML 135' BULK,024721305169
30519,DRL 19/64 LHCOB ML 135' BULK,024721305190
30522,DRL 11/32 LHCOB ML 135' BULK,024721305220
30524,DRL 3/8 LHCOB ML 135' BULK,024721305244
30528,DRL 7/16 LHCOB ML 135' BULK,024721305282
30530,DRL 15/32 LHCOB ML 135' BULK,024721305305
31520,DRL 5/16 LHCOB ML 135' BULK,024721315205
39030,"INSTALLER BIT 3/8"" 3 FLAT 7"" FLUTE 818R",024721390301
40153,CLMP LCKNG 2-LRG SOFT PAD,038548401539
42000,TEMPLET GUIDE KIT,039404102485
42024,TEMPLET GUIDE,039404102508
42030,1IN ROUTER TEMPLET GUIDE,039404102522
42036,TEMPLET GUIDE,039404102546
42045,TEMPLET GUIDE,039404115041
42046,5/8 TEMPLET GUIDE,039404112200
42048,TEMPLET GUIDE,039404102584
42234,HINGE BUTT CORNER CH,039404102775
42237,TEMPLET.GUIDE LOCK N,039404102782
43805,"AUGR BIT 5/16"" HEX 18"" EXT""",024721438058
43904,PLUG CUTR 1/4IN,024721439048
43906,PLUG CUTR 3/8IN,024721439062
43908,PLUG CUTR 1/2IN,024721439086
43910,PLUG CUTR 5/8IN,024721439109
44202,"ADJ WD BIT 7/8""-3"" HAND",024721100047
44801,"ADJ WD BIT 5/8""-1-3/4"" DRL PRSS",024721100184
45002,"ADJ WD BIT 7/8""-3"" DRL BIT PRSS",024721100191
45619,CLMP LCKNG ORIGINAL SET '2-9SP W/4 PADS',038548045696
46910,"AUGR BIT 5/8"" X 23"" POLE",024721469106
47009,"AUGR BIT 9/16"" X 29"" POLE",024721470096
47010,"AUGR BIT 5/8"" X 29"" POLE",024721470102
47011,"AUGR BIT 11/16"" X 29"" POLE",024721470119
47012,"AUGR BIT 3/4"" X 29"" POLE",024721470126
47013,"AUGR BIT 13/16"" X 29"" POLE",024721470133
47014,"AUGR BIT 7/8"" X 29"" POLE",024721470140
47016,"AUGR BIT 1"" X 29"" POLE",024721470164
47017,"AUGR BIT 1-1/16"" X 29"" POLE",024721470171
47410,"AUGR BIT 5/8"" X 17"" SHIP W/QC HEX SHK",024721100511
47911,"AUGR BIT 11/16"" X 18"" X 7/16"" HEX",024721479112
48211,"AUGR BIT 11/16""X 24""X 7/16"" HEX",024721482112
48213,"AUGR BIT 13/16"" X 24""X 7/16"" HEX",024721482136
48215,"AUGR BIT 15/16"" X 24"" X 7/16"" HEX",024721482150
48509,"AUGR BIT 9/16"" X 12"" X 7/16"" HEX",024721485090
