catalog_number,description,upc
DWMT19242,DWMT 26PC MM 1/2DR IM DP SKT SET,076174192421
DWMT19243,DWMT 26PC MM 1/2INDR IM SKT SET,076174192438
DWMT19244,"DWMT 28PC SAE 1/2""DR IM SKT COMBO SET",076174192445
DWMT19248,DWMT 42PC 3/8 DR IM COMBO SET,076174192483
DWMT19249,DWMT 30PC MM 1/2DR IM COMBO SET,076174192490
DWMT19251,DWMT 48PC MM/SAE 1/4IN DR IM COMBO SET,076174192513
DWMT19252,DWMT 57 PC 3/8 SD 6PT SET,076174192520
DWMT19289B,DWMT 1/2 DR 6PT SKT 1 3/8,076174192896
DWMT19568B,DWMT 3/8 DR 6PT DP SKT 7MM,076174195682
DWMT19569B,DWMT 3/8 DR 6PT DP SKT 8MM,076174195699
DWMT19571B,DWMT 3/8 DR 6PT SKT 1,076174195712
DWMT45007,200PC 14/38/12DR SKT SET,076174450071
DWMT45012,12DR 12PC TORQUE WRENCH TOOL SET,076174450125
DWMT45019,DW 144T 1/4IN QR RATCHET,076174450194
DWMT45020,DW 144T 3/8IN QR RATCHET,076174450200
DWMT45021,DW 144T 1/2IN QR RATCHET,076174450217
DWMT45034,DW 34PC 1/4 & 3/8 DR MTS (COSTCO),076174450347
DWMT45049,12DR 49PC MECHANICS TOOL SET,076174450491
DWMT45153,DEWALT 53PC MTS & TOUGH SYSTEMS STORAGE,885911742023
DWMT45184,DW 184 PC BLACK CHROME MTS,076174451849
DWMT45226H,226PC TOUGH SYSTEM MECHANICS TOOL BOX,076174452266
DWMT45341,341PC MECHANICS TOOL SET,076174453416
DWMT45400,3/8IN DR 37PC SOCKET SET + TS TRAY & LID,885911803007
DWMT45402,1/4 & 3/8DR 131PC MTS + TS TRAYS & LID,885911802901
DWMT45403,3/8 & 1/2IN DR 85PC MTS + TS TRAYS & LID,885911802918
DWMT45404,182PC 14/38/12DR SKT SET,076174454048
DWMT45405,12DR 49PC MECHANICS TOOL SET,076174454055
DWMT45407,DWMT 100PC MECHANICS TOOLS SET,076174454079
DWMT45408,DWMT 140PC MECHANICS TOOLS SET,076174454086
DWMT45409,DWMT 185PC MECHANICS TOOLS SET,076174454093
DWMT45410,96PC 14/38DR SOCKET SET W/PTA BOX,076174454109
DWMT45411,155PC 14/38/12DR SOCKET SET W/PTA BOX,076174454116
DWMT45412,30PC TOUGH BOX 1/4IN AND 3/8IN DR SOCKET,076174454123
DWMT45413,20PC TOUGH BOX 1/4IN DR SOCKET SET,076174454130
DWMT45414,23PC TOUGH BOX 1/2IN DR SOCKET SET,076174454147
DWMT45415,184PC DEWALT MECHANICS TOOL SET,076174454154
DWMT45416,DEWALT 172PC MECHANICS TOOLS SET,076174454161
DWMT45417,242PC Mechanics Tool Set,076174454178
DWMT45422,1/4IN DRIVE 50 PC MECHANICS TOOL,076174454222
DWMT45423,3/8IN DR 50PC MECHANICS TOOL SET,076174454239
DWMT45424,84PC MECHANICS TOOL SET,076174454246
DWMT45425,142PC MECHANICS TOOL SET,076174454253
DWMT45426,TOUGH BOX 8PC MM COMBINATION WRENCH SET,076174454260
DWMT45427,TOUGH BOX 8PC SAE COMBINATION WRENCH SET,076174454277
DWMT45428,DWMT 17PC SAE COMBO WR SET,076174454284
DWMT45429,DWMT 18PC MM COMBO WR SET,076174454291
DWMT45430H,DW 226PC MECHANICS TOOL SET TS2.0,076174454307
DWMT70773,1/2IN IMPACT WRENCH HEAVY DUTY DEWALT,076174707731
DWMT70774,1/2 IMPACT WRENCH- DEWALT,076174707748
DWMT70775,3/8 IMPACT WRENCH- DEWALT,076174707755
DWMT70776,3/8 AIR RATCHET- DEWALT,076174707762
DWMT70777,GRAVITY FEED SPRAY GUN HVLP - DEWALT,076174707779
DWMT70778,GRAVITY FEED TOUCH-UP SPRAY GUN-DEWALT,076174707786
DWMT70779,SIPHON SPRAY GUN- DEWALT,076174707793
DWMT70780,DUAL ACTION SANDER- DEWALT,076174707809
DWMT70781,PALM SANDER - DEWALT,076174707816
DWMT70782,ANGLE GRINDER - DEWALT,076174707823
DWMT70783,STRAIGHT GRINDER - DEWALT,076174707830
DWMT70784,CUT-OFF TOOL - DEWALT,076174707847
DWMT70785,AIR CHISEL HAMMER - DEWALT,076174707854
DWMT70786,3/8IN REVERSIBLE DRILL - DEWALT,076174707861
DWMT70840OSP,001PC 38DR DEEP SOCKET-06PT-1/4,076174768091
DWMT72165,DWMT 204PC MECHANICS TOOLS SET,076174721652
DWMT72166,010PC COMB. WRENCH SET (CWAS) MM,076174721669
DWMT72167,010PC COMB. WRENCH SET (CWAS) SAE,076174721676
DWMT72189OSP,001PC COMB. WRENCH 1/4 (CWAS),076174721898
DWMT72191OSP,001PC COMB. WRENCH 5/16 (CWAS),076174721911
DWMT72193OSP,001PC COMB. WRENCH 3/8 (CWAS),076174721935
DWMT72194OSP,001PC COMB. WRENCH 7/16 (CWAS),076174721942
DWMT72195OSP,001PC COMB. WRENCH 1/2 (CWAS),076174721959
DWMT72196OSP,001PC COMB. WRENCH 9/16 (CWAS),076174721966
DWMT72197OSP,001PC COMB. WRENCH 5/8 (CWAS),076174721973
DWMT72198OSP,001PC COMB.WRENCH 11/16 (CWAS),076174721980
DWMT72199OSP,001PC COMB. WRENCH 3/4 (CWAS),076174721997
DWMT72200OSP,001PC COMB.WRENCH 13/16 (CWAS),076174722000
DWMT72201OSP,001PC COMB. WRENCH 7/8 (CWAS),076174722017
DWMT72202OSP,001PC COMB.WRENCH 15/16 (CWAS),076174722024
DWMT72211OSP,001PC COMB. WRENCH 10MM (CWAS),076174722116
DWMT72212OSP,001PC COMB. WRENCH 11MM (CWAS),076174722123
DWMT72213OSP,001PC COMB. WRENCH 12MM (CWAS),076174722130
DWMT72214OSP,001PC COMB. WRENCH 13MM (CWAS),076174722147
DWMT72215OSP,001PC COMB. WRENCH 14MM (CWAS),076174722154
DWMT72216OSP,001PC COMB. WRENCH 15MM (CWAS),076174722161
DWMT72217OSP,001PC COMB. WRENCH 16MM(CWAS),076174722178
DWMT72218OSP,001PC COMB. WRENCH 17MM (CWAS),076174722185
DWMT72219OSP,001PC COMB. WRENCH 18MM (CWAS),076174722192
DWMT72220OSP,001PC COMB. WRENCH 19MM (CWAS),076174722208
DWMT72224OSP,001PC COMB. WRENCH 23MM (CWAS),076174722246
DWMT72288OSP,DWT RCW 1/4IN SAE,076174722888
DWMT72289OSP,001PC RATCHETING COMB. WRENCH 5/16,076174722895
DWMT72291OSP,001PC RATCHETING COMB. WRENCH 3/8,076174722918
DWMT72292OSP,001PC RATCHETING COMB. WRENCH-7/16,076174722925
DWMT72293OSP,001PC RATCHETING COMB. WRENCH 1/2,076174722932
DWMT72294OSP,001PC RATCHETING COMB. WRENCH-9/16,076174722949
DWMT72295OSP,001PC RATCHETING COMB. WRENCH 5/8,076174722956
DWMT72296OSP,001PC RATCHETING COMB. WRENCH 11/16,076174722963
DWMT72297OSP,001PC RATCHETING COMB. WRENCH 3/4,076174722970
DWMT72298OSP,001PC RATCHETING COMB. WRENCH 10,076174722987
DWMT72299OSP,001PC RATCHETING COMB. WRENCH 11,076174722994
DWMT72300OSP,001PC RATCHETING COMB. WRENCH 12,076174723007
DWMT72301OSP,001PC RATCHETING COMB. WRENCH 13,076174723014
DWMT72302OSP,001PC RATCHETING COMB. WRENCH 14,076174723021
DWMT72303OSP,001PC RATCHETING COMB. WRENCH 15,076174723038
DWMT72304OSP,001PC RATCHETING COMB. WRENCH 16,076174723045
DWMT72305OSP,001PC RATCHETING COMB. WRENCH 17,076174723052
DWMT72306OSP,001PC RATCHETING COMB. WRENCH 18,076174723069
DWMT72307OSP,001PC RATCHETING COMB. WRENCH 19,076174723076
DWMT73801,108PC 14/38DR SOCKET SET W/PTA BOX,076174738018
DWMT73802,142PC 14/38DR SOCKET SET W/PTA BOX,076174738025
DWMT73803,168PC 14/38/12DR SOCKET SET W/PTA BOX,076174738032
DWMT73804,TOUGH BOX 1/4IN AND 3/8IN DR SOCKET SET,076174738049
DWMT73805,TOUGH BOX 1/4IN DR SOCKET SET,076174738056
DWMT73806,TOUGH BOX 3/8IN DR BIT SOCKET SET,076174738063
DWMT73807,TOUGH BOX 1/4IN AND 3/8IN DR ACCY SET,076174738070
DWMT73808,TOUGH BOX 1/4IN MULTI-BIT AND NUT DR SET,076174738087
DWMT73809,TOUGH BOX 8PC SAE COMBINATION WRENCH SET,076174738094
DWMT73810,TOUGH BOX 8PC MM COMBINATION WRENCH SET,076174738100
DWMT73811,TOUGH BOX 1/4IN DR DP SOCKET SET,076174738117
DWMT73812,TOUGH BOX 3/8IN DR DP SOCKET SET,076174738124
DWMT73813,TOUGH BOX 1/2IN DR SOCKET SET,076174738131
DWMT73814,TOUGH BOX 1/2IN SAE DR DP SOCKET SET,076174738148
DWMT73815,TOUGH BOX 1/2IN MM DR DP SOCKET SET,076174738155
DWMT73934OSP,DWMT 6PT 1/2IN DR DP IM SKT 1/2IN SAE,076174739343
DWMT73935OSP,DWMT 6PT 1/2'' DR DP IM SKT 9/16'' SAE,076174739350
DWMT73936OSP,DWMT 6PT 1/2'' DR DP IM SKT 5/8'' SAE,076174739367
DWMT73937OSP,DWMT 6PT 1/2'' DR DP IM SKT 11/16'' SAE,076174739374
DWMT73938OSP,DWMT 6PT 1/2'' DR DP IM SKT 3/4'' SAE,076174739381
DWMT73940OSP,DWMT 6PT 1/2'' DR DP IM SKT 7/8'' SAE,076174739404
DWMT73941OSP,DWMT 6PT 1/2'' DR DP IM SKT 15/16'' SAE,076174739411
DWMT73942OSP,DWMT 6PT 1/2'' DR DP IM SKT 1'' SAE,076174739428
DWMT73945OSP,DWMT 6PT 1/2'' DR DP IM SKT 12 MM,076174739459
DWMT73947OSP,DWMT 6PT 1/2'' DR DP IM SKT 14 MM,076174739473
DWMT73948OSP,DWMT 6PT 1/2'' DR DP IM SKT 16 MM,076174739480
DWMT73949OSP,DWMT 6PT 1/2'' DR DP IM SKT 17 MM,076174739497
DWMT73950OSP,DWMT 6PT 1/2'' DR DP IM SKT 19 MM,076174739503
DWMT73951OSP,DWMT 6PT 1/2'' DR DP IM SKT 21 MM,076174739510
DWMT73952OSP,DWMT 6PT 1/2'' DR DP IM SKT 22 MM,076174739527
DWMT73953OSP,DWMT 6PT 1/2'' DR DP IM SKT 24 MM,076174739534
DWMT74138OSP,DWMT 3/4IN DR DP IM SKT 15/16IN SAE,076174741384
DWMT74139OSP,001PC 38DR DEEP SOCKET-12PT-1/2,076174741391
DWMT74140OSP,001PC 38DR DEEP SOCKET-12PT-11/16,076174741407
DWMT74141OSP,001PC 38DR DEEP SOCKET-12PT-13/16,076174741414
DWMT74142OSP,001PC 38DR DEEP SOCKET-12PT-3/4,076174741421
DWMT74143OSP,001PC 38DR DEEP SOCKET-12PT-3/8,076174741438
DWMT74145OSP,001PC 38DR DEEP SOCKET-12PT-5/8,076174741452
DWMT74146OSP,001PC 38DR DEEP SOCKET-12PT-7/16,076174741469
DWMT74147OSP,001PC 38DR DEEP SOCKET-12PT-7/8,076174741476
DWMT74148OSP,001PC 38DR DEEP SOCKET-12PT-9/16,076174741483
DWMT74186OSP,001PC 38DR SOCKET-12PT-21,076174741865
DWMT74187OSP,001PC 38DR SOCKET-12PT-1/4,076174741872
DWMT74188OSP,001PC 38DR DEEP SOCKET-12PT-19,076174741889
DWMT74189OSP,001PC 38DR DEEP SOCKET-12PT-21,076174741896
DWMT74190OSP,001PC 38DR DEEP SOCKET-12PT-5/16,076174741902
DWMT74191OSP,001PC 38DR DEEP SOCKET-12PT-1/4,076174741919
DWMT74195,007PC FLEX RATCHETING COMB. WRENCH SET,076174741957
DWMT74196,007PC FLEX RATCHETIGN COMB. WRENCH SET,076174741964
DWMT74198,008PC RATCHETING COMB. WRENCH SET MM,076174741988
DWMT74203,PRODUCT BOX 42PC 1/4 3/8 1/2 DR ACCY,076174742039
DWMT74204,PRODUCT BOX 84PC 1/4 DR 6PT SOCKET,076174742046
DWMT74206,PRODUCT BOX 92PC 3/8 DR 6PT SOCKET,076174742060
DWMT74207,PRODUCT BOX 84PC 1/2 DR DP SOCKET,076174742077
DWMT74208,PRODUCT BOX 64PC COMBINATION WRENCH,076174742084
DWMT74209,PRODUCT BOX 90PC 3/8 DR 12PT SOCKET,076174742091
DWMT74211,PRODUCT BOX 86PC 1/2 DR SOCKET,076174742114
DWMT74212,PRODUCT BOX 40PC 3/8 DR HEX BIT SOCKET,076174742121
DWMT74213,PRODUCT BOX 68PC RAT. COMBO. WRENCH,076174742138
DWMT74214,PRODUCT BOX 46PC 1/2 DR 6PT IMPACT SKT,076174742145
DWMT74216,PRODUCT BOX 12PC 1/2 DR IMPACT ACCY,076174742169
DWMT74217,PRODUCT BOX 30PC 3/4 DR SOCKET,076174742176
DWMT74218,PRODUCT BOX 40PC FLEX FLARE OE WRENCH,076174742183
DWMT74219,PRODUCT BOX 22PC 3/4 DR RATchet AND ACCY,076174742190
DWMT74221,PRODUCT BOX 26PC 3/4 DR DP IMPACT SOCKET,076174742213
DWMT74222,PRODUCT BOX 34PC 3/4 DR IMPACT SKT & ACC,076174742220
DWMT74223,PRODUCT BOX 44PC 1/2 DR DP IMPACT SOCKET,076174742237
DWMT74271,3/4IN IMPACT WRENCH,076174742718
DWMT74444OSP,COMBINATION WRENCH 1-5/16 IN,076174744446
DWMT74445OSP,COMBINATION WRENCH 1-3/8 IN,076174744453
DWMT74446OSP,COMBINATION WRENCH 1-7/16 IN,076174744460
DWMT74447OSP,COMBINATION WRENCH 1-1/2 IN,076174744477
DWMT74448OSP,IMPACT SOCKETS SAE DEEP 7PC,076174744484
DWMT74449OSP,IMPACT SOCKETS METRIC DEEP 7PC,076174744491
DWMT74452OSP,IMPACT SOCKETS SAE 7PC,076174744521
DWMT74453OSP,IMPACT SOCKETS METRIC 7PC,076174744538
DWMT74468OSP,DWMT 1/2IN DR IM DP SKT 6PT 13/16,076174744682
DWMT74502OSP,001PC 38DR DEEP SOCKET-12PT-10,076174745023
DWMT74503OSP,001PC 38DR DEEP SOCKET-12PT-11,076174745030
DWMT74504OSP,001PC 38DR DEEP SOCKET-12PT-12,076174745047
DWMT74505OSP,001PC 38DR DEEP SOCKET-12PT-13,076174745054
DWMT74506OSP,001PC 38DR DEEP SOCKET-12PT-14,076174745061
DWMT74507OSP,001PC 38DR DEEP SOCKET-12PT-15,076174745078
DWMT74508OSP,001PC 38DR DEEP SOCKET-12PT-16,076174745085
DWMT74509OSP,001PC 38DR DEEP SOCKET-12PT-17,076174745092
DWMT74510OSP,001PC 38DR DEEP SOCKET-12PT-18,076174745108
DWMT74511OSP,001PC 38DR DEEP SOCKET-12PT-9,076174745115
DWMT74512OSP,001PC 38DR SOCKET-12PT-1/2,076174745122
DWMT74513OSP,001PC 38DR SOCKET-12PT-10,076174745139
DWMT74514OSP,001PC 38DR SOCKET-12PT-11/16,076174745146
DWMT74515OSP,001PC 38DR SOCKET-12PT-11,076174745153
DWMT74516OSP,001PC 38DR SOCKET-12PT-12,076174745160
DWMT74517OSP,001PC 38DR SOCKET-12PT-13/16,076174745177
DWMT74518OSP,001PC 38DR SOCKET-12PT-13,076174745184
DWMT74519OSP,001PC 38DR SOCKET-12PT-14,076174745191
DWMT74520OSP,001PC 38DR SOCKET-12PT-15,076174745207
DWMT74521OSP,001PC 38DR SOCKET-12PT-16,076174745214
DWMT74522OSP,001PC 38DR SOCKET-12PT-17,076174745221
DWMT74523OSP,001PC 38DR SOCKET-12PT-18,076174745238
DWMT74524OSP,001PC 38DR SOCKET-12PT-19,076174745245
DWMT74526OSP,001PC 38DR SOCKET-12PT-3/4,076174745269
DWMT74527OSP,001PC 38DR SOCKET-12PT-3/8,076174745276
DWMT74528OSP,001PC 38DR SOCKET-12PT-5/16,076174745283
DWMT74529OSP,001PC 38DR SOCKET-12PT-5/8,076174745290
DWMT74530OSP,001PC 38DR SOCKET-12PT-7/16,076174745306
DWMT74531OSP,001PC 38DR SOCKET-12PT-7/8,076174745313
DWMT74532OSP,001PC 38DR SOCKET-12PT-9/16,076174745320
DWMT74535OSP,001PC 12DR DEEP SOCKET-12PT-1,076174745351
DWMT74536OSP,001PC 12DR DEEP SOCKET-12PT-1/2,076174745368
DWMT74537OSP,001PC 12DR DEEP SOCKET-12PT-11/16,076174745375
DWMT74538OSP,001PC 12DR DEEP SOCKET-12PT-1-1/16,076174745382
DWMT74542OSP,001PC 12DR DEEP SOCKET-12PT-13,076174745429
DWMT74543OSP,001PC 12DR DEEP SOCKET-12PT-13/16,076174745436
DWMT74544OSP,001PC 12DR DEEP SOCKET-12PT-14,076174745443
DWMT74545OSP,001PC 12DR DEEP SOCKET-12PT-15,076174745450
DWMT74546OSP,001PC 12DR DEEP SOCKET-12PT-15/16,076174745467
DWMT74547OSP,001PC 12DR DEEP SOCKET-12PT-16,076174745474
DWMT74548OSP,001PC 12DR DEEP SOCKET-12PT-17,076174745481
DWMT74549OSP,001PC 12DR DEEP SOCKET-12PT-18,076174745498
DWMT74550OSP,001PC 12DR DEEP SOCKET-12PT-19,076174745504
DWMT74551OSP,001PC 12DR DEEP SOCKET-12PT-21,076174745511
DWMT74552OSP,001PC 12DR DEEP SOCKET-12PT-22,076174745528
DWMT74553OSP,001PC 12DR DEEP SOCKET-12PT-24,076174745535
DWMT74554OSP,001PC 12DR DEEP SOCKET-12PT-3/4,076174745542
DWMT74555OSP,001PC 12DR DEEP SOCKET-12PT-5/8,076174745559
DWMT74557OSP,001PC 12DR DEEP SOCKET-12PT-7/8,076174745573
DWMT74558OSP,001PC 12DR DEEP SOCKET-12PT-9/16,076174745580
DWMT74559OSP,001PC 12DR SOCKET-12PT-1,076174745597
DWMT74560OSP,001PC 12DR SOCKET-12PT-1/2,076174745603
DWMT74563OSP,001PC 12DR SOCKET-12PT-11/16,076174745634
DWMT74564OSP,001PC 12DR SOCKET-12PT-1-1/16,076174745641
DWMT74567OSP,001PC 12DR SOCKET-12PT-12,076174745672
DWMT74568OSP,001PC 12DR SOCKET-12PT-13,076174745689
DWMT74569OSP,001PC 12DR SOCKET-12PT-13/16,076174745696
DWMT74570OSP,001PC 12DR SOCKET-12PT-14,076174745702
DWMT74571OSP,001PC 12DR SOCKET-12PT-15,076174745719
DWMT74572OSP,001PC 12DR SOCKET-12PT-15/16,076174745726
DWMT74573OSP,001PC 12DR SOCKET-12PT-16,076174745733
DWMT74574OSP,001PC 12DR SOCKET-12PT-17,076174745740
DWMT74575OSP,001PC 12DR SOCKET-12PT-18,076174745757
DWMT74576OSP,001PC 12DR SOCKET-12PT-19,076174745764
DWMT74577OSP,001PC 12DR SOCKET-12PT-20,076174745771
DWMT74578OSP,001PC 12DR SOCKET-12PT-21,076174745788
DWMT74579OSP,001PC 12DR SOCKET-12PT-22,076174745795
DWMT74581OSP,001PC 12DR SOCKET-12PT-24,076174745818
DWMT74586OSP,001PC 12DR SOCKET-12PT-3/4,076174745863
DWMT74590OSP,001PC 12DR SOCKET-12PT-5/8,076174745900
DWMT74591OSP,001PC 12DR SOCKET-12PT-7/16,076174745917
DWMT74592OSP,001PC 12DR SOCKET-12PT-7/8,076174745924
DWMT74593OSP,001PC 12DR SOCKET-12PT-9/16,076174745931
DWMT74594OSP,DWMT 12PT 3/4IN DR SKT 1-1/16 SAE,076174745948
DWMT74595OSP,DWMT 12PT 3/4IN DR SKT 1-1/2 SAE,076174745955
DWMT74596OSP,DWMT 12PT 3/4IN DR SKT 1-1/8 SAE,076174745962
DWMT74597OSP,DWMT 12PT 3/4IN DR SKT 1-11/16 SAE,076174745979
DWMT74598OSP,DWMT 12PT 3/4IN DR SKT 1-13/16 SAE,076174745986
DWMT74600OSP,DWMT 12PT 3/4IN DR SKT 1-3/8 SAE,076174746006
DWMT74601OSP,DWMT 12PT 3/4IN DR SKT 1-5/16 SAE,076174746013
DWMT74602OSP,DWMT 12PT 3/4IN DR SKT 15/16 SAE,076174746020
DWMT74603OSP,DWMT 12PT 3/4IN DR SKT 1-5/8 SAE,076174746037
DWMT74604OSP,DWMT 12PT 3/4IN DR SKT 1-7/16 SAE,076174746044
DWMT74605OSP,DWMT 12PT 3/4IN DR SKT 1-7/8 SAE,076174746051
DWMT74606OSP,DWMT 12PT 3/4IN DR SKT 1-9/16 SAE,076174746068
DWMT74607OSP,DWMT 12PT 3/4IN DR SKT 1 SAE,076174746075
DWMT74608OSP,DWMT 12PT 3/4IN DR SKT 2 SAE,076174746082
DWMT74611OSP,DWMT 12PT 3/4IN DR SKT 7/8 SAE,076174746112
DWMT74618OSP,DWMT 3/8IN DR T47 SKT,076174746181
DWMT74619OSP,DWMT 3/8IN DR T50 SKT,076174746198
DWMT74623OSP,DWMT 3/8 DR HEX BIT SKT 3/8IN SAE,076174746235
DWMT74634OSP,001PC 38DR BIT SOCKET-HW-7/16,076174746341
DWMT74635OSP,001PC 38DR BIT SOCKET-HW-1/2,076174746358
DWMT74641OSP,DWMT 3/4IN DR 1 3/4IN 12PT SKT,076174746419
DWMT74654OSP,DWMT 6PT 1/2IN DR IM SKT 1/2IN SAE,076174746549
DWMT74655OSP,DWMT 6PT 1/2IN DR IM SKT 11/16IN SAE,076174746556
DWMT74656OSP,DWMT 6PT 1/2IN DR DP IM SKT 1-1/16IN SAE,076174746563
DWMT74657OSP,DWMT 6PT 1/2IN DR DP IM SKT 1-1/2IN SAE,076174746570
DWMT74658OSP,DWMT 6PT 1/2IN DR DP IM SKT 1-1/4IN SAE,076174746587
DWMT74659OSP,DWMT 6PT 1/2IN DR DP IM SKT 1-1/8IN SAE,076174746594
DWMT74660OSP,DWMT 6PT 1/2IN DR IM SKT 13 MM,076174746600
DWMT74661OSP,DWMT 6PT 1/2IN DR IM SKT 13/16IN SAE,076174746617
DWMT74733,GH BOX 8PC SAE RAT. COMBO. WRENCH SET,076174747331
DWMT74734,TOUGH BOX 8PC MM RAT COMBO WRENCH SET,076174747348
DWMT74736,TOUGH BOX 7PC SAE 1/2 DR DP IMP SKT SET,076174747362
DWMT74737,TOUGH BOX 7PC MM 1/2 DR DP IMP SKT SET,076174747379
DWMT74738,TOUGH BOX 23PC 3/8 DR IMPACT SOCKET SET,076174747386
DWMT74739,TOUGH BOX 23PC 1/2 DR IMPACT SOCKET SET,076174747393
DWMT74741,TOUGH BOX 10 PC 3/8 AND 1/2 DR ACCY SET,076174747416
DWMT75000,200PC DEWALT MECHANICS TOOL SET,076174750003
DWMT75049,DEWALT 192PC MECHANICS TOOLS SET,076174750492
DWMT75101OSP,DWMT 6PT 1/2IN DR DP IM SKT 1-3/8IN SAE,076174751017
DWMT75102OSP,DWMT 6PT 1/2IN DR IM SKT 14 MM,076174751024
DWMT75103OSP,DWMT 6PT 1/2IN DR IM SKT 15 MM,076174751031
DWMT75104OSP,DWMT 6PT 1/2IN DR IM SKT 15/16IN SAE,076174751048
DWMT75105OSP,DWMT 6PT 1/2IN DR IM SKT 16 MM,076174751055
DWMT75106OSP,DWMT 6PT 1/2IN DR IM SKT 17 MM,076174751062
DWMT75107OSP,DWMT 6PT 1/2IN DR DP IM SKT 1-7/16IN SAE,076174751079
DWMT75108OSP,DWMT 6PT 1/2IN DR IM SKT 18 MM,076174751086
DWMT75109OSP,DWMT 6PT 1/2IN DR IM SKT 19 MM,076174751093
DWMT75110OSP,DWMT 6PT 1/2IN DR IM SKT 20 MM,076174751109
DWMT75111OSP,DWMT 6PT 1/2IN DR IM SKT 21 MM,076174751116
DWMT75112OSP,DWMT 6PT 1/2IN DR IM SKT 22 MM,076174751123
DWMT75113OSP,DWMT 6PT 1/2IN DR IM SKT 3/4IN SAE,076174751130
DWMT75114OSP,DWMT 6PT 1/2IN DR IM SKT 3/8IN SAE,076174751147
DWMT75115OSP,DWMT 6PT 1/2IN DR DP IM SKT 30 MM,076174751154
DWMT75116OSP,DWMT 6PT 1/2IN DR DP IM SKT 32 MM,076174751161
DWMT75117OSP,DWMT 6PT 1/2IN DR DP IM SKT 36 MM,076174751178
DWMT75118OSP,DWMT 6PT 1/2IN DR IM SKT 5/8IN SAE,076174751185
DWMT75119OSP,DWMT 6PT 1/2IN DR IM SKT 6 PT 1IN SAE,076174751192
DWMT75120OSP,DWMT 6PT 1/2IN DR IM SKT 7/16IN SAE,076174751208
DWMT75121OSP,DWMT 6PT 1/2IN DR IM SKT 7/8IN SAE,076174751215
DWMT75122OSP,DWMT 6PT 1/2IN DR IM SKT 9/16IN SAE,076174751222
DWMT75123OSP,DWMT 6PT 1/2IN DR IM SKT 1-1/16IN SAE,076174751239
DWMT75125OSP,DWMT 6PT 1/2IN DR IM SKT 1-1/8IN SAE,076174751253
DWMT75126OSP,DWMT 6PT 1/2IN DR DP IM SKT 15 MM,076174751260
DWMT75127OSP,DWMT 6PT 1/2IN DR DP IM SKT 18 MM,076174751277
DWMT75128OSP,DWMT 6PT 1/2IN DR DP IM SKT 20 MM,076174751284
DWMT75129OSP,DWMT 3/4IN DR DP IM SKT 1IN SAE,076174751291
DWMT75130OSP,DWMT 3/4IN DR DP IM SKT 1-1/16IN SAE,076174751307
DWMT75131OSP,DWMT 3/4IN DR DP IM SKT 1-1/2IN SAE,076174751314
DWMT75132OSP,DWMT 3/4IN DR DP IM SKT 1-1/4IN SAE,076174751321
DWMT75133OSP,DWMT 3/4IN DR DP IM SKT 1-1/8IN SAE,076174751338
DWMT75134OSP,DWMT 3/4IN DR DP IM SKT 13/16IN SAE,076174751345
DWMT75135OSP,DWMT 3/4IN DR DP IM SKT 1-3/16IN SAE,076174751352
DWMT75136OSP,DWMT 3/4IN DR DP IM SKT 1-3/8IN SAE,076174751369
DWMT75137OSP,DWMT 3/4IN DR DP IM SKT 1-5/16IN SAE,076174751376
DWMT75139OSP,DWMT 3/4IN DR DP IM SKT 1-7/16IN SAE,076174751390
DWMT75140OSP,DWMT 3/4IN DR 22MM IM DP SKT,076174751406
DWMT75141OSP,DWMT 3/4IN DR 24MM IM DP SKT,076174751413
DWMT75142OSP,DWMT 3/4IN DR 25MM IM DP SKT,076174751420
DWMT75143OSP,DWMT 3/4IN DR 26MM IM DP SKT,076174751437
DWMT75144OSP,DWMT 3/4IN DR 27MM IM DP SKT,076174751444
DWMT75145OSP,DWMT 3/4IN DR DP IM SKT 3/4IN SAE,076174751451
DWMT75146OSP,DWMT 3/4IN DR 30MM IM DP SKT,076174751468
DWMT75147OSP,DWMT 3/4IN DR 32MM IM DP SKT,076174751475
DWMT75148OSP,DWMT 3/4IN DR 33MM IM DP SKT,076174751482
DWMT75149OSP,DWMT 3/4IN DR 35MM IM DP SKT,076174751499
DWMT75150OSP,DWMT 3/4IN DR 36MM IM DP SKT,076174751505
DWMT75151OSP,DWMT 3/4IN DR 38MM IM DP SKT,076174751512
DWMT75152OSP,DWMT 3/4IN DR 41MM IM DP SKT,076174751529
DWMT75153OSP,DWMT 3/4IN DR DP IM SKT 7/8IN SAE,076174751536
DWMT75154OSP,DWMT 3/4IN DR IM SKT 1 SAE,076174751543
DWMT75155OSP,DWMT 3/4IN DR IM SKT 1-1/16 SAE,076174751550
DWMT75156OSP,DWMT 3/4IN DR IM SKT 1-1/2 SAE,076174751567
DWMT75157OSP,DWMT 3/4IN DR IM SKT 1-1/4 SAE,076174751574
DWMT75158OSP,DWMT 3/4IN DR IM SKT 1-1/8 SAE,076174751581
DWMT75159OSP,DWMT 3/4IN DR IM SKT 13/16IN SAE,076174751598
DWMT75160OSP,DWMT 3/4IN DR IM SKT 1-3/16IN SAE,076174751604
DWMT75161OSP,DWMT 3/4IN DR IM SKT 1-3/8 SAE,076174751611
DWMT75162OSP,DWMT 3/4IN DR IM SKT 1-5/16 SAE,076174751628
DWMT75163OSP,DWMT 3/4IN DR IM SKT 15/16IN SAE,076174751635
