stock_number,description,size,upc
14830,717ECO™ PVC - HEAVY BODIED,GALLON,012181148303
14831,717ECO™ PVC - HEAVY BODIED,QUART,012181148310
14832,717ECO™ PVC - HEAVY BODIED,PINT,012181148327
14849,740ECO™ PVC - POOL REGULAR,QUART,012181148495
14854,744ECO™ PVC - POOL MEDIUM,QUART,012181148549
14867,746ECO™ PVC - POOL HEAVY,QUART,012181148679
14871,748ECO™ PVC - POOL FAST,QUART,012181148716
15693,714ECO™ CPVC - HEAVY BODIED,QUART,012181156933
15694,714ECO™ CPVC - HEAVY BODIED,PINT,012181156940
15695,714ECO™ CPVC - HEAVY BODIED,QUART,012181156957
15696,714ECO™ CPVC - HEAVY BODIED,PINT,012181156964
14838,P-68 ECO™ PRIMER,GALLON,012181148389
14839,P-68 ECO™ PRIMER,QUART,012181148396
14840,P-68 ECO™ PRIMER,PINT,012181148402
14843,P-68 ECO™ PRIMER,GALLON,012181148433
14844,P-68 ECO™ PRIMER,QUART,012181148440
14845,P-68 ECO™ PRIMER,PINT,012181148457
10810,"810 TWO-COMPONENT, REACTIVE ADHESIVE",GALLON,
10811,"810 TWO-COMPONENT, REACTIVE ADHESIVE ",QUART,
10812,"810 TWO-COMPONENT, REACTIVE ADHESIVE ",PINT,
10813,"810 TWO-COMPONENT, REACTIVE ADHESIVE ",4 Oz,
10985,"811 TWO-COMPONENT, REACTIVE ADHESIVE ",470 mL,
12709,"845 TWO-COMPONENT, REACTIVE ADHESIVE - 12 PACKS",43 mL,
12759,"845 TWO-COMPONENT, REACTIVE ADHESIVE ",400 mL,
12711,"845 STARTER KIT (2 - 43 mL cartridge, 1 - dispensing gun, 6 - mixing tips)",43 mL,
14150,811 MANUAL DISPENSING GUN,-,
14080,811 STRAIGHT MIXING TIP,BAG,
12471,845 MANUAL DISPENSING GUN FOR 43 mL CARTRIDGE,-,
14077,845 MIXING TIP FOR 43 mL CARTRIDGE,BAG,
14152,845 METAL FRAME MANUAL DISPENSING GUN FOR 400 mL CARTRIDGE,-,
14040,845 MIXING TIP FOR 400 mL CARTRIDGE,BAG,
87670,ALL SEAL - MULTI-PURPOSE PIPE THREAD SEALANT,PINT,
87665,ALL SEAL - MULTI-PURPOSE PIPE THREAD SEALANT,1/2 PINT,
87660,ALL SEAL - MULTI-PURPOSE PIPE THREAD SEALANT,1/4 PINT,
87695,BLUE SEAL - INDUSTRIAL GRADE PIPE THREAD SEALANT,QUART,
87690,BLUE SEAL - INDUSTRIAL GRADE PIPE THREAD SEALANT,PINT,
87685,BLUE SEAL - INDUSTRIAL GRADE PIPE THREAD SEALANT,1/2 PINT,
87740,"WHITE SEAL PLUS - 
MULTI-PURPOSE PIPE THREAD SEALANT WITH PTFE",QUART,
87735,"WHITE SEAL PLUS - 
MULTI-PURPOSE PIPE THREAD SEALANT WITH PTFE",PINT,
87730,"WHITE SEAL PLUS - 
MULTI-PURPOSE PIPE THREAD SEALANT WITH PTFE",1/2 PINT,
87725,"WHITE SEAL PLUS - 
MULTI-PURPOSE PIPE THREAD SEALANT WITH PTFE",1/4 PINT,
10064,505 KEY TITE METAL PIPE THREAD SEALANT,PINT,012181100646
10068,505 KEY TITE METAL PIPE THREAD SEALANT,1/2 PINT,012181100684
80103,SOFT SEAL PLUMBERS PUTTY**,3 LB,
80100,SOFT SEAL PLUMBERS PUTTY,14 Oz,
84055,EPOXY PUTTY STICK,4 Oz,
81255,PIPE STICK JOINT COMPOUND,1.3 Oz,
80315,THREAD SEAL TAPE WITH PTFE,"1/2"" X 260""",
80310,THREAD SEAL TAPE WITH PTFE,"1/2"" X 520""",
87750,THREAD SEAL TAPE WITH PTFE,"3/4"" X 260""",
87755,THREAD SEAL TAPE WITH PTFE,"3/4"" X 520""",
87720,THREAD SEAL TAPE WITH PTFE,"1"" X 520""",
80320,THREAD SEAL TAPE WITH PTFE**,"1/2"" X 260""",
80325,THREAD SEAL TAPE WITH PTFE,"1/2"" X 260""",
87721,EZ FLUSH PIPE LUBRICANT,5-GALLON,
87719,EZ FLUSH PIPE LUBRICANT,GALLON,
87718,EZ FLUSH PIPE LUBRICANT,QUART,
87715,SEAL LUBE GASKET LUBRICANT,GALLON,
87710,SEAL LUBE GASKET LUBRICANT,QUART,
87705,SEAL LUBE GASKET LUBRICANT,PINT,
80427,SLIK SEAL PLUMBERS GREASE**,1 Oz,
80425,LIGHT CUTTING OIL,GALLON,
80424,LIGHT CUTTING OIL,QUART,
80421,DARK CUTTING OIL,GALLON,
80420,DARK CUTTING OIL,QUART,
81352,ACID BRUSHES,-,
81610,PREMIUM DUTY FITTING BRUSH,"½""",
81620,PREMIUM DUTY FITTING BRUSH,"¾""",
81625,PREMIUM DUTY FITTING BRUSH,"1""",
81630,PREMIUM DUTY FITTING BRUSH,"1 ¼""",
81635,PREMIUM DUTY FITTING BRUSH,"1 ½""",
81640,PREMIUM DUTY FITTING BRUSH,"2""",
87795,HEAVY DUTY WIRE HANDLE FITTING BRUSH,"½""",
87800,HEAVY DUTY WIRE HANDLE FITTING BRUSH,"¾""",
81651,COMBINATION 4-IN-1 COPPER TUBE & FITTING BRUSH,-,
81560,COPPER TUBE CLEANING BRUSH,"½""",
81565,COPPER TUBE CLEANING BRUSH,"¾""",
81400,"SAND CLOTH - 2 YARDS X 1 ½"" ","1 ½""",
81405,"SAND CLOTH - 10 YARDS X 1 ½"" ","1 ½""",
81410,"SAND CLOTH - 25 YARDS X 1 ½"" ","1 ½""",
81500,"OPEN MESH CLOTH - 5 YARDS X 1 ½"" ","1 ½""",
81505,"OPEN MESH CLOTH - 10 YARDS X 1 ½"" ","1 ½""",
80890,FLAME STOPPER TORCH PROTECTOR,"9"" X 12""",
13199,"DH-38 DAUBER - 3/8” for 
Flowguard Gold® -1/4 and 1/2 Pint**","⅜""",012181131992
10005,"DP-150 DAUBER - 1 1/2” for 
pipe diameter up to 3”","1 ½""",012181100059
10003,"DP-50 DAUBER - 3/4” for 
Flowguard Gold® - Pint","¾""",012181100035
10004,"DP-75 DAUBER - 3/4” for 
pipe diameter up to 1 1/2”","¾""",012181100042
10006,"DQ-150 DAUBER - 1 1/2” for 
pipe diameter up to 3”","1 ½""",012181100066
11831,"DQ-50 DAUBER - 1/2” for 
Flowguard Gold® - Quart","½""",012181118313
12429,"DQ-75 DAUBER - 3/4” for 
pipe diameter up to 1 1/2”","¾""",012181124291
10833,SUPERDAUBER™-150,"1 ¼""",012181108338
10832,SUPERDAUBER™-75,"¾""",012181108321
12121,PB-1 PLASTIC HANDLE BRUSH,"1""",012181121214
14108,SUPERSWAB® APPLICATOR,"4""",012181141083
14111,SUPERSWAB® APPLICATOR - BULK PACK,"4""",012181141113
14112,SUPERSWAB® - REPLACEMENT SWABS BULK PACK,"4""",012181141120
10009,4020 SWAB,"4""",012181100097
12071,5020 SWAB,"4""",012181120712
13360,8020 SWAB,"4""",012181133606
10007,3020 ROLLER,"3""",012181100073
11957,6020 ROLLER,"4""",012181119570
10008,7020 ROLLER,"7""",012181100080
14550,EASY TWIST™ CAN OPENER,-,012181145500
10010,MT-648 EMPTY METAL CAN,"Gallon w/ 2 ⅞"" neck",012181100103
10012,MT-651 EMPTY METAL CAN,"Quart w/ 1 ¾"" neck",012181100127
10014,MT-653 EMPTY METAL CAN,Quart TT (paint style cap),012181100141
10015,MT-654 EMPTY METAL CAN,"Pint w/ 1 ¾"" neck",012181100158
14147,CAN-TOTE CARRIER - 6 packs,-,012181141472
12891,CAN-TOTE CARRIER - 24 packs,-,012181128916
12816,P-0412 PIPE AND FITTING PULLER," 4"" to 12""",012181128169
12815,P1420 PIPE AND FITTING PULLER,"14"" to 20""",012181128152
12863,MPB-2000 MOUNTED POWER BEVELING TOOL,"½"" CTS to 3"" IPS",012181128633
13029,SRB-275 SHORT REPLACEMENT BLADE FOR MPB 2000,"2-3/4""",012181130292
